"","District","Region","Subzone","Property Type","address","Ascendas_Building","lease","sqft","sqm","psf","lon","lat"
"13827","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","3d gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",5404,502,1.1,103.8138059,1.4443538
"13828","D18","EAST REGION","TAMPINES NORTH","Factory / Workshop","1 tampines north drive 1 , singapore","Non-Ascendas Building","Unknown Tenure",2196,204,1.59,103.9331558,1.3721028
"13829","D09","CENTRAL REGION","INSTITUTION HILL","Office","46 kim yam road , singapore","Non-Ascendas Building","60-year Leasehold",920,85,4.95,103.8386992,1.2928106
"13830","D09","CENTRAL REGION","INSTITUTION HILL","Office","46 kim yam road , singapore","Non-Ascendas Building","60-year Leasehold",523,49,5.35,103.8386992,1.2928106
"13831","D09","CENTRAL REGION","INSTITUTION HILL","Office","46 kim yam road , singapore","Non-Ascendas Building","60-year Leasehold",676,63,5.33,103.8386992,1.2928106
"13832","D18","EAST REGION","TAMPINES NORTH","Factory / Workshop","1 tampines north drive 1 , singapore","Non-Ascendas Building","Unknown Tenure",4392,408,1.48,103.9331558,1.3721028
"13833","D03","CENTRAL REGION","KAMPONG TIONG BAHRU","Light Industrial","120 lower delta road , singapore","Non-Ascendas Building",NA,9000,836,3.06,103.822894,1.2802849
"13834","D03","CENTRAL REGION","KAMPONG TIONG BAHRU","Light Industrial","120 lower delta road , singapore","Non-Ascendas Building",NA,4400,409,2.95,103.822894,1.2802849
"13835","D01","CENTRAL REGION","CECIL","Office","138 robinson road , singapore","Non-Ascendas Building","Freehold",1206,112,7.71,103.8484196,1.278646
"13836","D02","CENTRAL REGION","TANJONG PAGAR","Office","70 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1701,158,6.06,103.846216,1.2739069
"13837","D22","WEST REGION","TUAS VIEW","Factory / Workshop","71 tuas view place , singapore","Non-Ascendas Building","60-year Leasehold",3369,313,1.19,103.6322017,1.2974996
"13838","D22","WEST REGION","TUAS VIEW","Factory / Workshop","71 tuas view place , singapore","Non-Ascendas Building","60-year Leasehold",6738,626,0.99,103.6322017,1.2974996
"13839","D27","NORTH REGION","SEMBAWANG NORTH","Factory / Workshop","8a admiralty street , singapore","Non-Ascendas Building","60-year Leasehold",2777,258,2.81,103.8147431,1.4630794
"13840","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","50 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",600,56,1.67,103.8184676,1.442306
"13841","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","50 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",2077,193,2,103.8184676,1.442306
"13842","D25","NORTH REGION","GALI BATU","Factory / Workshop","31 mandai estate , singapore","Non-Ascendas Building","Freehold",1539,143,1.82,103.757972,1.4050786
"13843","D18","EAST REGION","TAMPINES NORTH","Factory / Workshop","1 tampines north drive 1 , singapore","Non-Ascendas Building","Unknown Tenure",1636,152,2.02,103.9331558,1.3721028
"13844","D01","CENTRAL REGION","CECIL","Office","110 robinson road , singapore","Non-Ascendas Building",NA,2712,252,13.22,103.8489124,1.279429
"13845","D25","NORTH REGION","PANG SUA","Factory / Workshop","00 sungei kadut loop , singapore","Non-Ascendas Building","Unknown Tenure",4000,372,1.88,103.7436097,1.4139013
"13846","D13","CENTRAL REGION","JOO SENG","Light Industrial","11 irving place , singapore","Non-Ascendas Building","Freehold",11431,1062,2.97,103.8866573,1.3360926
"13847","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","61 ubi road 1 , singapore","Non-Ascendas Building","60-year Leasehold",1120,104,2.14,103.8908174,1.3325244
"13848","D25","NORTH REGION","WOODLANDS EAST","Light Industrial","11 woodlands close , singapore","Non-Ascendas Building","60-year Leasehold",135,13,4.44,103.8026988,1.4347426
"13849","D13","CENTRAL REGION","JOO SENG","Light Industrial","3 irving road , singapore","Non-Ascendas Building","Unknown Tenure",2158,200,3.61,103.8869411,1.3358844
"13850","D13","CENTRAL REGION","JOO SENG","Light Industrial","3 irving road , singapore","Non-Ascendas Building","Unknown Tenure",10487,974,3.62,103.8869411,1.3358844
"13851","D13","CENTRAL REGION","JOO SENG","Light Industrial","3 irving road , singapore","Non-Ascendas Building","Unknown Tenure",22228,2065,3.6,103.8869411,1.3358844
"13852","D22","WEST REGION","TUAS VIEW EXTENSION","Factory / Workshop","9 tuas south avenue 10 , singapore","Non-Ascendas Building","30-year Leasehold",12000,1115,1,103.6237215,1.28694
"13853","D12","CENTRAL REGION","KALLANG BAHRU","Light Industrial","114 lavender street , singapore","Non-Ascendas Building","99-year Leasehold",120,11,5,103.8632329,1.3115994
"13854","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","33 ubi avenue 3 , singapore","Non-Ascendas Building","60-year Leasehold",100,9,6,103.8942808,1.333427
"13855","D20","NORTH-EAST REGION","YIO CHU KANG","Light Industrial","3 ang mo kio street 62 , singapore","Non-Ascendas Building","60-year Leasehold",150,14,4,103.8449205,1.3862158
"13856","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",162,15,9.26,103.8642819,1.3063526
"13857","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",883,82,3.62,103.8642819,1.3063526
"13858","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",884,82,3.62,103.8642819,1.3063526
"13859","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",1184,110,3.63,103.8642819,1.3063526
"13860","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",1012,94,3.75,103.8642819,1.3063526
"13861","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",1013,94,3.75,103.8642819,1.3063526
"13862","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",1595,148,4.39,103.8642819,1.3063526
