District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D22,WEST REGION,BENOI SECTOR,Factory / Workshop,pioneer road,Non-Ascendas Building,60-year Leasehold ,13041,1212,1.2
D22,WEST REGION,JURONG RIVER,Warehouse,buroh lane,Non-Ascendas Building,30-year Leasehold ,74000,6875,1.6
D22,WEST REGION,TUKANG,Factory / Workshop,chin bee road,Non-Ascendas Building,Unknown Tenure ,8500,790,1.76
D22,WEST REGION,TUAS VIEW,Factory / Workshop,tuas south street 5,Non-Ascendas Building,Unknown Tenure ,25000,2323,1.63
D22,WEST REGION,BENOI SECTOR,Warehouse,pioneer road,Non-Ascendas Building,,40000,3716,1.6
D22,WEST REGION,BENOI SECTOR,Factory / Workshop,pioneer road,Non-Ascendas Building,,7100,660,1.55
D22,WEST REGION,TUAS BAY,Warehouse,tuas road,Non-Ascendas Building,30-year Leasehold ,68178,6334,1.2
D22,WEST REGION,TUAS VIEW,Warehouse,tuas view,Non-Ascendas Building,60-year Leasehold ,31434,2920,1.27
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,10 ubi crescent,Non-Ascendas Building,Unknown Tenure ,2250,209,2.13
D02,CENTRAL REGION,TANJONG PAGAR,Office,10 anson road,Non-Ascendas Building,99-year Leasehold ,980,91,7
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,2539,236,8.59
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,2600,242,8.46
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,1970,183,8.5
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,8199,762,8.8
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,2800,260,7.07
D02,CENTRAL REGION,TANJONG PAGAR,Office,10 anson road,Non-Ascendas Building,99-year Leasehold ,1453,135,6.5
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,10237,951,8
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,2000,186,9.5
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,10463,972,9.56
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,14123,1312,9
D02,CENTRAL REGION,TANJONG PAGAR,Office,10 anson road,Non-Ascendas Building,99-year Leasehold ,220,20,5.68
D01,CENTRAL REGION,CECIL,Office,80 robinson road,Non-Ascendas Building,99-year Leasehold ,11194,1040,7.5
D01,CENTRAL REGION,RAFFLES PLACE,Office,50 raffles place,Non-Ascendas Building,,4391,408,10.5
D01,CENTRAL REGION,RAFFLES PLACE,Office,1 raffles place,Non-Ascendas Building,,1733,161,11.5
D01,CENTRAL REGION,CECIL,Office,36 robinson road,Non-Ascendas Building,,3315,308,7.8
D01,CENTRAL REGION,CHINA SQUARE,Office,18 cross street,Non-Ascendas Building,,2563,238,9
D01,CENTRAL REGION,RAFFLES PLACE,Office,16 raffles quay,Non-Ascendas Building,,5500,511,8.5
